eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
104.61,2.48,3033,0.014098353,0.18868001,2.119045,-0.024557143,0.15760203,0.5630864500999451,127,32512,709.6332879569381,2080768
109.99,2.47,3060,0.013154201,0.1809489,2.1345797,-0.024433522,0.14809449,0.5938363671302795,128,32768,714.987457334064,2097152
105.19,2.63,3000,0.01183653,0.16400146,2.1331549,-0.022748888,0.19273567,0.5325500667095184,129,33024,720.4951094016433,2113536
110.28,2.46,2952,0.013612133,0.1854248,2.1088607,-0.027385555,0.15716988,0.5603015124797821,130,33280,726.0454685771838,2129920
99.77,2.51,3042,0.011478211,0.15848796,2.1219285,-0.022579528,0.17674059,0.5617035627365112,131,33536,731.4724164772779,2146304
104.74,2.61,2920,0.011769172,0.16341145,2.116022,-0.022130469,0.19451542,0.5662222504615784,132,33792,737.0841354662552,2162688
110.73,2.61,3046,0.012434336,0.17816162,2.118984,-0.024587184,0.17191114,0.5862959623336792,133,34048,742.5034007206559,2179072
109.37,2.55,2967,0.01313996,0.18125407,2.1121476,-0.024169847,0.16997637,0.559862494468689,134,34304,748.0257403710857,2195456
116.01,2.4,2915,0.014162358,0.19665527,2.0901842,-0.022866694,0.17573904,0.547223836183548,135,34560,753.6876547075808,2211840
105.74,2.46,2959,0.012451244,0.17222087,2.1269205,-0.0246306,0.14755215,0.5812414884567261,136,34816,759.2242128802463,2228224
103.84,2.1,2959,0.013807307,0.19053142,2.0938537,-0.02510485,0.14849219,0.5920363366603851,137,35072,764.803160816431,2244608
111.6,2.52,2912,0.012862242,0.17651367,2.0907686,-0.022687636,0.14571497,0.6046510636806488,138,35328,770.4303241558373,2260992
109.08,2.73,2900,0.013328578,0.18479411,2.0901644,-0.026196549,0.15637599,0.6022476255893707,139,35584,776.1399878412485,2277376
116.66,2.48,2907,0.012504871,0.17128499,2.0598204,-0.024168923,0.16659868,0.5854590833187103,140,35840,781.7761847171932,2293760
105.65,2.17,3033,0.013855406,0.18906657,2.0684896,-0.026125876,0.13560407,0.5877209305763245,141,36096,787.2188960723579,2310144
117.52,2.49,2930,0.013700276,0.18792725,2.0882728,-0.0245582,0.16496761,0.5887378454208374,142,36352,792.8110754648224,2326528
106.28,2.71,2957,0.014404035,0.19791667,2.0649762,-0.023872549,0.17592813,0.5956988632678986,143,36608,798.3965807603672,2342912
109.51,2.15,2965,0.013854243,0.18611653,2.0916603,-0.024150573,0.14872046,0.6148481369018555,144,36864,803.9224396916106,2359296
107.98,3.02,2958,0.012924202,0.17071533,2.0194786,-0.023681767,0.18339902,0.6260333955287933,145,37120,809.5062321368605,2375680
104.26,2.77,3020,0.012706664,0.17041016,2.05858,-0.02364651,0.17723207,0.6092953383922577,146,37376,814.9307407960296,2392064
108.02,2.55,2952,0.013137914,0.17482503,2.1203606,-0.02513849,0.15439837,0.5962153077125549,147,37632,820.5251157209277,2408448
104.42,2.5,2980,0.014737476,0.19917805,2.0901341,-0.025142588,0.15450726,0.6007782518863678,148,37888,826.0227100159973,2424832
120.33,3.15,2872,0.0120311,0.16440837,2.091266,-0.024881443,0.17827863,0.62701615691185,149,38144,831.7713158130646,2441216
109.98,2.74,3070,0.013458367,0.18345134,2.126971,-0.026058719,0.14388275,0.5795825719833374,150,38400,837.1094402493909,2457600
119.58,2.85,2969,0.015045551,0.19262695,2.0910835,-0.026677066,0.1528195,0.5987755358219147,151,38656,842.670408946462,2473984
105.19,2.93,2921,0.013029148,0.17301433,2.0588725,-0.02688445,0.17434202,0.6113058030605316,152,38912,848.2799081765115,2490368
107.79,2.58,2904,0.015011333,0.19773357,2.0596025,-0.027259203,0.15709175,0.614335685968399,153,39168,853.9640100188553,2506752
102.83,2.27,2939,0.012959738,0.17329915,2.104057,-0.024383267,0.15885213,0.6254841089248657,154,39424,859.5388008067384,2523136
111.11,2.72,3024,0.014840164,0.19545491,2.093829,-0.02806566,0.13580382,0.6140283644199371,155,39680,864.9952602619305,2539520
111.38,2.87,2975,0.014361329,0.19008382,2.089923,-0.02416321,0.17230403,0.5953140556812286,156,39936,870.5022807642817,2555904
110.74,2.26,3026,0.015003809,0.19950359,2.0648487,-0.028171951,0.16008143,0.5794476866722107,157,40192,875.962840761058,2572288
115.43,2.92,2864,0.013907281,0.18300374,2.071658,-0.026308015,0.15335993,0.5446290075778961,158,40448,881.6836760919541,2588672
120.66,2.77,2876,0.014468595,0.19020589,2.0557227,-0.026875636,0.17053254,0.5599260926246643,159,40704,887.424558840692,2605056
